Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Рябошапка,Нестор,Адамович,чоловік,2001-10-01,Гінеколог,місто Старокостянтинів,"набережна Кар’єрна, буд. 93, Біляївка, 54798",+380 20 969-40-23,nadiiakorzh@example.org
Ященко,Миколай,Валентинович,чоловік,1941-09-06,Юрист,селище Коростишів,"провулок Таїрова, буд. 2, Олександрія, 73673",396-42-35,riakymenko@example.com
Даценко,Одарка,Опанасівна,жінка,1980-02-07,Астроном,село Кіцмань,"проспект Тульська, буд. 16 кв. 222, Сміла, 53788",+380 17 556 66 19,kshmorhun@example.com
Гресь,Йосип,Богуславович,чоловік,1952-04-22,Бухгалтер,село Калинівка ,"сквер Магнітогорський 2-й, буд. 1, Первомайськ, 08289",+380 81 075-36-44,masokhapetro@example.org
Онуфрієнко,Станіслав,Прохорович,чоловік,1983-06-23,Науковець,селище Андрушівка,"парк Державіна, буд. 544 кв. 3, Хуст, 38000",036 460 30 82,dmykytiuk@example.com
Чарниш,Ярема,Бориславович,чоловік,1970-03-05,Будник,село Рогатин,"шосе Житомирський 4-й, буд. 154, Бурштин , 08818",+380 67 318-49-61,iaroslava56@example.com
Дробаха,Орися,Захарівна,жінка,1982-09-20,Машиніст,місто Глиняни,"сквер Ванний, буд. 93 кв. 218, Тульчин, 89108",+380 65 558 00 67,tartiushenko@example.net
Лубенець,Франц,Андрійович,чоловік,1987-01-25,Драматург,селище Хуст,"шосе Саксаганського, буд. 9, Вишневе , 39010",089 184-61-04,eduard90@example.net
Барабаш,Кирило,Олесьович,чоловік,1973-06-22,Паралегал,село Новий Розділ,"узвіз Пейзажна, буд. 80, Новомосковськ, 56296",+380 (53) 270-13-85,vlokhklyment@example.net
Хорішко,Миколай,Амвросійович,чоловік,1977-09-05,Лікар,селище Білопілля,"проспект Будівельна, буд. 7, Липовець, 27240",048 195 75 01,katroshchenko@example.com
Вакуленко,Омелян,Гаврилович,чоловік,2003-10-22,Сантехнік,хутір Сєвєродонецьк,"проспект Єрмака, буд. 7 кв. 612, Добромиль, 10585",094 38 91,roman79@example.net
Бабʼяк,Юстина,Феофанівна,жінка,1995-02-12,Модель,селище Путивль,"провулок Юннатів 3-й, буд. 695 кв. 75, Первомайськ, 86653",+380 (87) 328-66-20,oleh49@example.org
Левченко,Віктор,Адамович,чоловік,1975-10-03,Дипломат,місто Хорол ,"набережна Деволанівський узвіз, буд. 242, Рівне, 06688",870 53 88,olha37@example.net
Худяк,Аарон,Хомович,чоловік,1972-06-17,Географ,місто Горохів,"узвіз Лузанівка, буд. 6 кв. 3, Барвінкове, 63800",099 512 12 47,rostyslav58@example.org
Яремко,Варфоломій,Валентинович,чоловік,1996-04-11,Петрограф,селище Монастириська,"проспект Новоберегова, буд. 312 кв. 19, Кременець, 19571",+380 45 092-46-70,zaporozhetsadam@example.com
Бабиченко,Оксана,Богодарівна,жінка,2004-07-17,Сценарист,хутір Ялта,"проспект Леваневського, буд. 61 кв. 660, Сновськ, 24283",033 630-56-57,iustyna99@example.net
Іваничук,Аліна,Захарівна,жінка,1945-04-11,Кіноактор,селище Герца,"парк Обсерваторний, буд. 403, Кременчук, 78573",+380 48 231 58 01,wieromenko@example.com
Скирда,Прохір,Леонтійович,чоловік,2001-05-29,Ріелтор,місто Турка,"вулиця Леха Качинського, буд. 16, Ківерці, 03195",595-75-57,sivanenko@example.org
Проценко,Дан,Стефанович,чоловік,1973-06-05,Машиніст,місто Баранівка,"набережна Кутова, буд. 9 кв. 207, Радомишль, 93318",+380 (70) 451-91-18,tbabarychenko@example.com
Чумаченко,Алевтин,Олександрович,чоловік,1944-09-30,Бібліотекар,село Харцизьк,"площа Яблунева, буд. 026 кв. 0, Старий Крим, 01420",+380 (63) 294-43-50,danylenkoalbina@example.org
Сімашкевич,Євген,Леонідович,чоловік,1959-11-21,Намотувальник,село Амвросіївка,"площа Марата 2-й, буд. 97, Корсунь-Шевченківський, 16112",087 457 00 71,alevtynonufriienko@example.com
Цимбалюк,Дмитро,Азарович,чоловік,1965-02-16,Дантист,селище Баранівка,"сквер Івана Микитенка, буд. 42 кв. 9, Славутич, 01327",058 08 83,varfolomiidevdiuk@example.net
Кальченко,Руслан,Ярославович,чоловік,2005-05-06,М'ясник,місто Житомир,"узвіз Лодочний, буд. 9, Миргород, 85217",+380 88 163-85-28,isahal@example.com
Атаманчук,Антон,Устимович,чоловік,1964-01-01,Льотчик,селище Бучач,"вулиця Крижанівський, буд. 803 кв. 779, Дніпрорудне, 19759",063 625 51 25,vadymzatula@example.net
Вергун,Володимира,Миколаївна,жінка,1977-04-07,Акушер,село Самбір,"набережна Шкільний аеродром, буд. 877, Кодима, 79524",+380 31 278 52 07,romanenkoboleslav@example.com
Лаба,Зиновій,Орестович,чоловік,1944-01-21,Піаніст,місто Кролевець,"шосе Сергія Ейзенштейна, буд. 52 кв. 3, Зеленодольськ, 63593",+380 (78) 436-80-41,mykhailynalysenko@example.org
Єщенко,Арсен,Олександрович,чоловік,1943-11-29,Електрослюсар,селище Ізяслав,"шосе Лінія 47-ма, буд. 9, Заставна, 54272",+380 13 612 40 67,akulenkohryhorii@example.org
Пʼятаченко,Костянтин,Омелянович,чоловік,1960-04-08,Перекладач,село Прип'ять ,"шосе Марії Демченко, буд. 85 кв. 87, Виноградів, 46564",+380 59 905-52-61,ieromenkozlatoslava@example.net
Засенко,Христина,Вікторівна,жінка,2001-11-06,Машиніст,хутір Любомль,"сквер Академіка Векслера, буд. 3, Комарно, 95558",+380 (41) 083-43-51,mmatviienko@example.org
Комар,Степан,Болеславович,чоловік,2004-10-06,Математик,село Миргород,"шосе Новобазарний, буд. 35 кв. 6, Ірміно, 65337",088 100-41-63,kalchenkosymon@example.com
Цимбал,Герман,Юхимович,чоловік,1990-03-28,Ботанік,місто Кам'янець-Подільський,"площа Кісельова Ігоря, буд. 16 кв. 7, Вознесенівка, 32415",096 583-36-77,mariana18@example.net
Смик,Еріка,Лукʼянівна,жінка,2008-06-17,Драматург,хутір Вуглегірськ,"узвіз Леваневського, буд. 19 кв. 408, Прилуки, 76465",061 339-99-94,zaichenkomarko@example.com
Кибкало,Віра,Андріївна,жінка,1988-02-02,Доцент,селище Золотоноша,"провулок Лазурний 1-й, буд. 5 кв. 8, Ізяслав, 25347",+380 (25) 835-95-95,ievhenteslenko@example.net
Пушкар,Михайло,Іванович,чоловік,1953-06-19,Мірошник,місто Тиврів,"узвіз Тепличний 2-й, буд. 247 кв. 66, Буринь, 91914",+380 (69) 421-42-91,klyment40@example.org
Негода,Ірена,Едуардівна,жінка,1952-01-30,Гірничий інженер,село Тростянець,"парк Привозна, буд. 7, Вижниця, 74550",081 247 14 53,hordiishutko@example.com
Ніколюк,Дарина,Владиславівна,жінка,1981-10-19,Євнух,село Оріхів,"площа Івана Франка, буд. 5, Южноукраїнськ, 82280",777 34 68,illia52@example.org
Оберемко,Ірена,Германівна,жінка,1985-11-05,Кінорежисер,місто Первомайськ,"шосе Сонячна, буд. 70 кв. 61, Стрий, 35608",+380 20 122-90-37,anton89@example.com
Демʼянюк,Еріка,Омелянівна,жінка,1959-07-11,Мірошник,хутір Докучаєвськ,"шосе Лузанівка, буд. 32 кв. 4, Богуслав, 46032",804 26 19,vakhniisolomon@example.net
Радченко,Олександр,Гаврилович,чоловік,1997-07-02,Доцент,місто Ходорів,"проспект Басейний 3-й, буд. 9 кв. 3, Снятин, 19061",050 098 74 37,kolodubleopold@example.com
Швайка,Омелян,Миронович,чоловік,1971-10-04,Астронавт,село Сокаль,"вулиця Пересипська 5-та, буд. 5 кв. 4, Костопіль, 73668",+380 45 072-21-87,matiashklyment@example.net
Худобʼяк,Святослава,Климентівна,жінка,1989-11-07,Програміст,місто Олександрія,"площа Товарний, буд. 9, Перемишляни, 18146",+380 79 999-65-60,mariia88@example.com
Баштан,Еріка,Богданівна,жінка,2000-10-01,Провізор,місто Кіцмань,"вулиця Псковська, буд. 38, Першотравенськ, 25216",+380 10 315-15-24,obaidak@example.org
Скоробогатько,Лесь,Євгенійович,чоловік,1998-06-01,Скульптор,хутір Моспине,"шосе Георгія Гамова, буд. 65, Первомайський , 60994",+380 96 369-23-58,panteleimon58@example.net
Бабій,Омелян,Мартинович,чоловік,1945-09-20,М'ясник,хутір Василівка ,"узвіз Миколаївський 1-й, буд. 2, Бровари, 59490",005 966-15-37,syrotenkovasyl@example.org
Москаль,Орхип,Володимирович,чоловік,1987-09-17,Нотаріус,село Львів,"провулок Шишкіна, буд. 7 кв. 10, Баранівка, 61906",+380 17 061-33-24,tartymyshyn@example.net
Яремко,Оксана,Іванівна,жінка,1948-11-14,Складальник,хутір Золотоноша,"площа Васнецова, буд. 032, Сокиряни, 93258",+380 63 068-17-14,vitalii92@example.com
Цимбал,Орест,Віталійович,чоловік,1956-10-19,Фізик,місто Шаргород,"вулиця Героїв прикордонників, буд. 7 кв. 508, Пустомити, 96645",270-75-36,zstelmakh@example.net
Голик,Клавдія,Орестівна,жінка,1943-01-16,Фотограф,місто Вишгород,"узвіз Дзвінка, буд. 40 кв. 31, Інкерман, 79197",+380 19 523-82-43,panteleimondevdiuk@example.net
Ніколюк,Трохим,Леонідович,чоловік,2002-03-07,Парфюмер,місто Новий Буг,"сквер Офіцерський 2-й, буд. 77 кв. 9, Решетилівка, 47316",+380 (63) 378-81-41,yarsenych@example.com
Шухевич,Стефан,Омелянович,чоловік,1940-10-26,Візажист,село Синельникове,"сквер Лінія 31-ша, буд. 1 кв. 345, Сквира, 90815",059 388-36-23,orysiashyian@example.net
Іванченко,Камілла,Арсенівна,жінка,1946-04-04,Географ,село Барвінкове,"узвіз Манежна, буд. 18, Хорол , 83225",087 885 31 30,iustymiakymchuk@example.org
Корбут,Стефан,Зорянович,чоловік,1986-08-27,Випробувач,місто Ясинувата,"парк Прохоровський, буд. 1 кв. 541, Лебедин, 29198",+380 (87) 565-94-11,zartiushenko@example.org
Онуфрієнко,Емілія,Максимівна,жінка,1945-11-20,Гінеколог,хутір Монастирище,"площа Дніпровська, буд. 5 кв. 43, Сокиряни, 14147",043 699 71 55,qvermenych@example.net
Власенко,Аніта,Климентівна,жінка,2003-03-14,Епідеміолог,хутір Брянка,"сквер Аеропортівський 1-й, буд. 73 кв. 977, Біла Церква, 16233",+380 20 431-97-93,latamaniuk@example.com
Ткаченко,Омелян,Пилипович,чоловік,1997-03-02,Футболіст,селище Дунаївці,"площа Донцова Дмитра, буд. 095, Новодружеськ, 63401",+380 02 931 07 63,dubynasviatoslava@example.net
Абраменко,Аліна,Віталіївна,жінка,1976-03-19,Кіноактор,селище Рівне,"шосе Польська, буд. 8, Старобільськ, 10917",045-27-45,taras08@example.net
Кащенко,Костянтин,Андрійович,чоловік,1983-07-25,Секретар,місто Великі Мости,"вулиця Тополиний, буд. 74 кв. 400, Алмазна, 78486",790-58-66,bohdanarkhymovych@example.net
Височан,Борис,Борисович,чоловік,1945-08-04,Кіноактор,село Міусинськ,"сквер Леонтовича, буд. 1 кв. 1, Городня, 61252",068 929-23-54,yievtushok@example.com
Даценко,Леонтій,Костянтинович,чоловік,1995-08-02,Фармацевт,селище Армянськ,"сквер Аркадіївський, буд. 936, Городня, 92267",+380 02 173 04 35,demyd18@example.net
Скирда,Едуард,Яковович,чоловік,1999-01-11,Кухар,місто Хмельницький,"вулиця 40-річчя оборони Одеси, буд. 9, Одеса, 68497",+380 30 985 34 16,iefymenkohennadii@example.com
Їжакевич,Дмитро,Аркадійович,чоловік,1967-01-30,Актор,місто Соснівка ,"набережна Князівський, буд. 368 кв. 9, Люботин, 80862",+380 39 174-62-81,leonidisaienko@example.com
Артимишина,Віктор,Леонідович,чоловік,1958-10-28,Фольклорист,селище Середина-Буда,"узвіз Олександра Невського 1-й, буд. 24 кв. 5, Макіївка, 66793",+380 (20) 495-17-85,kovaliukpavlo@example.com
Гаєвська,Юстина,Миронівна,жінка,1964-04-19,Правник,село Бахчисарай,"проспект Окружна, буд. 04, Ананьїв, 98259",029 476 17 53,danna70@example.com
Панчук,Анастасія,Микитівна,жінка,1941-09-05,Астронавт,місто Миколаїв,"сквер Старосінна, буд. 79, Роздільна, 76632",521 45 41,usykleontii@example.org
Чумаченко,Варвара,Сергіївна,жінка,2005-06-28,Мікробіолог,село Буськ,"сквер Іванова 1-й, буд. 51, Долина , 11117",+380 (26) 644-41-36,tverdokhlibavhustyn@example.net
Цимбал,Нестор,Веніяминович,чоловік,1968-06-30,Будник,село Амвросіївка,"провулок Топольського, буд. 8 кв. 9, Бориспіль, 19684",+380 38 723 61 22,bohuslav95@example.org
Оробець,Ганна,Демʼянівна,жінка,1962-11-19,Головний меркшейдер,селище Снятин,"проспект Амундсена, 3-й, буд. 17 кв. 966, Славута, 40757",+380 07 315-63-34,xpustovit@example.net
Вакарчук,Клавдія,Вадимівна,жінка,1970-01-17,Дантист,селище Міусинськ,"вулиця Олександра Невського 2-й, буд. 611, Шумськ, 34312",031 407 15 76,zakhar03@example.net
Каденюк,Христина,Бориславівна,жінка,2008-03-19,Музикант,хутір Іллінці,"провулок Деревообробний 2-й, буд. 07, Олександрівськ, 56585",765-32-85,udankiv@example.com
Шаблій,Пилип,Тимофійович,чоловік,1965-08-20,Провізор,село Щолкіне,"площа Промислова, буд. 66, Тернівка , 53627",486-17-31,olenashtepa@example.org
Артюх,Дмитро,Андрійович,чоловік,1963-03-04,Флорист,селище Березне,"провулок Китобійний 2-й, буд. 39 кв. 908, Бахмач, 45896",+380 34 712 95 50,isaievychtetiana@example.com
Кабалюк,Тереза,Варфоломіївна,жінка,1988-09-08,Петрограф,село Лиман ,"проспект Братів Поджіо, буд. 843 кв. 6, Волноваха, 37488",+380 61 922-84-11,vakulenkoolha@example.org
Жарко,Сніжана,Прохорівна,жінка,1990-08-22,Архітектор,село Федорівка,"набережна Соборна, буд. 1 кв. 7, Костянтинівка, 60014",+380 (22) 808-46-99,zinkevychadam@example.net
Гузь,Марʼяна,Федорівна,жінка,1981-10-09,Пілот,село Вуглегірськ,"проспект Кутузова, буд. 75, Богодухів, 53694",+380 (58) 547-96-43,dannababychenko@example.org
Чубай,Аркадій,Михайлович,чоловік,1960-03-28,Перекладач,селище Глиняни,"вулиця Достоєвського, буд. 001, Сміла, 90278",063 511-41-95,hennadii20@example.org
Данько,Єлисей,Опанасович,чоловік,1977-11-22,Будник,селище Сокаль,"сквер Рожева, буд. 5, Борислав, 55984",045 59 58,ruslankovaliuk@example.org
Короленко,Адам,Станіславович,чоловік,1947-04-27,Палеонтолог,місто Шаргород,"проспект Басейний 6-й, буд. 9, Хмельницький, 53090",+380 17 106-95-44,zakhar23@example.org
Ковалюк,Арсен,Глібович,чоловік,1946-02-23,Фотограф,місто Рівне,"парк Гвардійська, буд. 272, Алмазна, 10881",+380 07 676 71 80,kolodubstanislav@example.net
Яценко,Пріска,Антонівна,жінка,2004-12-10,Візажист,селище Кам'янка-Бузька,"площа Ф. Пішеніна, буд. 9 кв. 84, Тараща, 19780",+380 80 723 39 32,arsenychsolomiia@example.com
Доценко,Клавдія,Охрімівна,жінка,1971-06-15,Письменник,місто Новоукраїнка,"площа Волзький, буд. 333 кв. 1, Федорівка, 30985",087 516-72-01,maksymazhazha@example.com
Михайлюк,Йосип,Русланович,чоловік,2005-04-25,Бібліограф,селище Бурштин ,"провулок Заводська 2-га, буд. 94 кв. 13, Мелітополь, 85688",096 251 67 50,ftryhub@example.com
Ґереґа,Лесь,Ярославович,чоловік,1981-10-16,Професор,село Городок,"вулиця Скляний 1-й, буд. 527 кв. 44, Карлівка, 31606",032 148 94 44,stepan31@example.org
Бандура,Емілія,Ярославівна,жінка,1967-12-07,Паралегал,село Збараж,"набережна Алмазна, буд. 51 кв. 8, Красноперекопськ, 21299",076 447 20 72,emiliia60@example.com
Смик,Леопольд,Амвросійович,чоловік,1945-02-04,Правник,село Торецьк,"парк Київське, буд. 142 кв. 35, Южне, 07553",094 807 25 64,iefymenkozorian@example.com
Андрієвич,Еріка,Августинівна,жінка,1971-02-11,Реставратор,селище Кам'янка-Дніпровська,"узвіз Волна тупик, буд. 0 кв. 080, Саки , 34653",+380 94 670-04-15,khrystynamakarenko@example.org
Макогон,Василина,Амвросійовна,жінка,1990-02-17,Геолог,місто Великі Мости,"провулок Нафтовиків 3-й, буд. 9, Пирятин, 38265",082 02 19,shcherbandan@example.net
Чабан,Юстина,Миколаївна,жінка,2003-03-12,Живописець,місто Гайсин,"узвіз Лїнія 1-ша, буд. 05, Канів, 17570",096 132 40 29,hreshlib@example.com
Чарниш,Юстим,Юстимович,чоловік,1959-02-09,Сценарист,селище Васильків,"проспект Аеропортівська, буд. 28 кв. 74, Новогродівка, 25255",+380 81 824 66 33,ntiahnybok@example.com
Михайлюк,Тимофій,Ростиславович,чоловік,1983-05-13,Фольклорист,село Герца,"провулок Державіна, буд. 49 кв. 49, Горлівка, 78221",735 04 09,zzaiets@example.org
Вакарчук,Богдан,Богодарович,чоловік,1961-12-29,Фізик,місто Бахмут,"шосе Проценка, буд. 2, Гірник , 85385",+380 (54) 541-67-98,avakarchuk@example.com
Саєнко,Марʼяна,Ярославівна,жінка,1944-03-21,Кіноактор,селище Докучаєвськ,"проспект Дальницьке, буд. 423, Глиняни, 46221",+380 (22) 689-30-33,herman58@example.net
Іващенко,Лесь,Лукʼянович,чоловік,2001-08-05,Різноробочий,хутір Апостолове,"вулиця Обривиста, буд. 6, Кропивницький, 65618",+380 48 854-99-92,levchenkoielysaveta@example.net
Вишняк,Трохим,Валентинович,чоловік,1965-03-28,Кінорежисер,хутір Міусинськ,"узвіз Чернігівська, буд. 24, Запоріжжя, 54461",+380 92 750 61 67,mzharko@example.org
Чайка,Охрім,Олесьович,чоловік,1954-09-12,Пекар,хутір Петрово-Красносілля,"парк Амбулаторна, буд. 890 кв. 6, Кагарлик, 95902",+380 11 564-67-61,ytymchenko@example.org
Закусило,Азар,Романович,чоловік,2001-10-26,Зоолог,село Ужгород,"вулиця Лазурний 1-й, буд. 9 кв. 82, Новомиргород, 37648",+380 41 180-60-08,fmedvedenko@example.net
Єщенко,Панас,Прохорович,чоловік,1961-04-16,Кінорежисер,село Молочанськ,"шосе Олексіївська, буд. 731, Боково-Хрустальне, 63673",082 992-88-89,parmen11@example.net
Гаврилець,Віолетта,Прохорівна,жінка,1938-11-16,Стиліст,село Тячів,"площа Василя Симоненка, буд. 38, Петрово-Красносілля, 91671",+380 66 210 43 86,ihnat85@example.com
Щербак,Святослава,Веніяминівна,жінка,1958-05-05,Економіст,місто Великі Мости,"парк Давида Ойстраха, буд. 95 кв. 446, Городня, 56378",421 93 45,nvlasiuk@example.org
Карпа,Геннадій,Олександрович,чоловік,1953-08-11,Хімік,селище Тлумач,"узвіз Творча, буд. 85 кв. 1, Ромни, 07636",+380 10 099-42-81,bohdan24@example.com
Талан,Петро,Єлисейович,чоловік,1992-06-02,Менеджер,хутір Надвірна,"сквер Качалова, буд. 27, Тернопіль, 95212",+380 11 483-59-41,iaremchukbohuslav@example.net
Устенко,Зорян,Ігорович,чоловік,1952-11-29,Ботанік,хутір Новгород-Сіверський,"узвіз Академіка Сахарова, буд. 03, Костянтинівка, 18597",889 33 20,vasylyna05@example.com
Захарченко,Христина,Трохимівна,жінка,1959-06-29,Євнух,село Кагарлик,"узвіз Усатівська, буд. 143, Володимир-Волинський, 07970",+380 08 220-62-00,chuprynasofiia@example.org
Гайда,Хома,Веніяминович,чоловік,2000-02-23,Нотаріус,селище Географія Вільнянська,"сквер Рожева, буд. 846, Ржищів, 33598",045 279 98 17,venedykt60@example.org
Орлик,Галина,Аврелійовна,жінка,1984-05-15,Реставратор,хутір Умань,"узвіз Івана Микитенка, буд. 901 кв. 22, Калинівка , 55820",047 301 65 35,chres@example.org
Верменич,Сергій,Остапович,чоловік,1954-01-13,Географ,хутір Жидачів,"провулок Дубова, буд. 00, Фастів, 26333",+380 (75) 808-91-86,kamillasemenchenko@example.net
Юхименко,Едуард,Гордійович,чоловік,1967-04-01,Літературознавець,місто Пустомити,"вулиця Весняна, буд. 193 кв. 921, Харків, 76877",092 617-25-51,boryslavostapchuk@example.net
Шовкопляс,Віра,Назарівна,жінка,1989-05-18,Правник,хутір Чорноморськ,"сквер Михайла Божія, буд. 757 кв. 4, Стрий, 85453",998 43 18,kharchenkovalerii@example.com
Артюшенко,Нестор,Юхимович,чоловік,1985-05-01,Диригент,хутір Андрушівка,"проспект Картамишевська, буд. 3 кв. 108, Кипуче, 48643",898 05 64,izarudnyi@example.org
Яремчук,Аніта,Кирилівна,жінка,1944-06-19,Будник,село Алушта,"сквер Планетна, буд. 42 кв. 3, Звенигородка, 64541",+380 (33) 603-62-53,okseniiafesenko@example.org
Бабʼяк,Лукʼян,Охрімович,чоловік,1997-11-18,Реабілітолог,село Хуст,"парк Князівський, буд. 3, Світлодарськ, 18778",+380 67 890-72-92,spas85@example.org
Бабко,Марко,Георгійович,чоловік,1941-12-16,Адвокат,місто Верхівцеве,"вулиця Нечипуренка, буд. 611, Енергодар, 11760",+380 (62) 039-42-42,bazylevychoryna@example.org
Журавель,Ігнат,Демидович,чоловік,1980-01-16,Круп'є,село Рені,"провулок Чорноморський, буд. 5, Саки , 46419",426 48 05,artiushenkoihor@example.org
Нестеренко,Тарас,Трохимович,чоловік,1953-04-17,Дизайнер,село Голубівка,"узвіз Одеса-Головна, буд. 237, Яремче, 55794",068-29-73,adamlesyk@example.com
Рябошапка,Ярослава,Степанівна,жінка,1948-09-03,Продюсер,село Мелітополь,"площа Деревообробний 3-й, буд. 6, Валки , 47375",+380 (63) 393-65-89,orkhypvdovychenko@example.org
Козак,Соломон,Ааронович,чоловік,1966-12-01,Кінорежисер,селище Світловодськ,"провулок Буніна, буд. 54, Долина , 14468",+380 (22) 455-95-88,padamenko@example.org
Христич,Альбіна,Леонідівна,жінка,2005-04-03,Стоматолог,хутір Арциз,"узвіз Сергія Ядова, буд. 54 кв. 366, Ромни, 43273",+380 (53) 274-07-29,rvakarchuk@example.net
Яременко,Ілля,Глібович,чоловік,1957-09-02,Кіноактор,селище Тлумач,"сквер Санітарна, буд. 68, Сніжне, 56353",073 296 10 59,hlibiashchenko@example.org
Козак,Тетяна,Глібівна,жінка,1975-10-08,Журналіст,хутір Тисмениця,"шосе Садова 5-та, буд. 40, Хмельницький, 80460",+380 35 408 85 36,iereskopavlo@example.com
Яремків,Панас,Артемович,чоловік,1956-08-22,Перекладач,хутір Нова Одеса,"парк Левкоєва, буд. 897, Кобеляки, 02988",+380 77 823-71-88,amvrosiistelmakh@example.com
Устенко,Семен,Остапович,чоловік,1950-05-23,Фермер,селище Нетішин,"площа Золотий берег, буд. 558 кв. 924, Умань, 55172",+380 10 364-27-67,maryna68@example.com
Кармалюк,Аарон,Петрович,чоловік,1985-05-06,Модельєр,селище Краматорськ,"провулок Чорноморський 1-й, буд. 89, Лубни, 18900",+380 (19) 786-49-59,symon79@example.org
Рудько,Леонід,Дмитрович,чоловік,1959-12-26,Будник,селище Заліщики,"вулиця Чернишевського, буд. 79 кв. 203, Іллінці, 95985",008 532-55-12,arkhypenkoanastasiia@example.net
Теліженко,Борис,Августинович,чоловік,1973-04-29,Фармацевт,хутір Білгород-Дністровський,"шосе Щукіна, буд. 9, Антрацит , 35293",+380 37 947-56-18,ideineka@example.org
Корсун,Ліза,Павлівна,жінка,2007-07-19,Кур'єр,село Городок,"провулок Сонячна, буд. 300, Сновськ, 92435",739 26 53,anastasiiausyk@example.net
Алексеєнко,Климент,Болеславович,чоловік,1988-10-04,Стоматолог,хутір Південне ,"провулок Пироговська, буд. 9 кв. 33, Шаргород, 88474",+380 84 281-85-40,pderiazhnyi@example.org
Доценко,Миколай,Трохимович,чоловік,1946-02-22,Ботанік,місто Красноград,"узвіз Нафтовиків, буд. 9, Рубіжне, 55744",096 834-53-88,eduard65@example.net
Байдак,Єлисавета,Геннадіївна,жінка,1952-07-22,Модельєр,селище Барвінкове,"проспект Лиманчик 2-й Лінія 9-та, буд. 955, Бібрка, 28475",+380 (06) 689-91-80,cnehoda@example.org
Скоробогатько,Едита,Гордіївна,жінка,1969-07-31,Водій,село Валки ,"площа Давида Ойстраха, буд. 2, Новодністровськ, 79953",+380 10 010-74-07,makar42@example.com
Скирда,Венедикт,Омелянович,чоловік,1971-09-18,Сантехнік,хутір Батурин,"набережна Степана Олійника узвіз, буд. 300, Єнакієве, 90818",828-06-53,mykhailo16@example.net
Павленко,Олег,Данилович,чоловік,1975-07-27,Медик,село Іршава,"вулиця Верф’яний, буд. 1 кв. 368, Старий Крим, 16981",+380 (49) 832-74-53,les50@example.org
Журба,Лесь,Варфоломійович,чоловік,1997-03-12,Електротехнік,селище Молочанськ,"вулиця 11-та Лінія Марії Демченко, буд. 18 кв. 638, Верхньодніпровськ, 98523",078 174 44 75,hbaranyk@example.org
Шморгун,Юстим,Веніяминович,чоловік,1999-12-28,Круп'є,місто Боярка,"узвіз Кар’єрна, буд. 27 кв. 53, Луганськ, 56481",098 162-23-89,demydhrytsenko@example.net
Бандурка,Андрій,Богданович,чоловік,1939-11-27,Головний меркшейдер,місто Глобине,"сквер Новоселів, буд. 838, Алушта, 10616",003 305 12 18,hartymyshyna@example.com
Юрчишина,Святослава,Ігорівна,жінка,1942-09-02,Вчитель,селище Жашків,"площа Сьома, буд. 69 кв. 736, Новодністровськ, 42924",+380 04 676-67-98,irynaiermolenko@example.net
Щириця,Ілля,Артемович,чоловік,1965-03-22,Мінералог,селище Пологи ,"узвіз Восьмого березня, буд. 0 кв. 46, Харцизьк, 11013",903-26-24,valentynaandriienko@example.com
Рябовіл,Прохір,Валентинович,чоловік,1966-10-05,Мікробіолог,село Горішні Плавні,"вулиця Підйомний, буд. 234 кв. 79, Погребище, 61423",784-64-10,vrudko@example.net
Сімашкевич,Валентина,Давидівна,жінка,1948-02-12,Пекар,селище Вознесенськ,"сквер Вапняний 2-й, буд. 750 кв. 2, Тальне, 69049",+380 02 673 64 44,klyment68@example.net
Твердохліб,Дмитро,Зиновійович,чоловік,1993-07-10,Мірошник,хутір Бершадь,"парк Лінія 22-га, буд. 66 кв. 66, Рудки, 93040",+380 49 596 92 31,demydhaidenko@example.com
Журба,Прохір,Венедиктович,чоловік,1984-12-13,Письменник,місто Болехів,"вулиця Бородінська, буд. 947 кв. 50, Буськ, 86410",+380 80 690 20 03,matviienkoarkadii@example.net
Рудик,Надія,Лесівна,жінка,1941-05-30,Краєзнавець,місто Краматорськ,"провулок Кустанайська, буд. 6, Чернівці, 75585",+380 25 334-72-49,skarpa@example.com
Данченко,Тарас,Ярославович,чоловік,1960-06-04,Педагог,місто Тараща,"узвіз Восьмого березня узвіз, буд. 9, Козятин, 19973",+380 48 570-90-65,iakiv91@example.org
Гресь,Марина,Тарасівна,жінка,1974-07-10,Електротехнік,хутір Сокаль,"набережна Індійська, буд. 4 кв. 957, Інкерман, 08159",644 91 49,ddashenko@example.net
Абраменко,Камілла,Едуардівна,жінка,1980-02-04,Мовознавець,селище Ладижин,"проспект Дукова, буд. 499 кв. 2, Новомиргород, 10355",074 066-11-14,hodunokfeofan@example.net
Абрагамовська,Руслан,Аркадійович,чоловік,1961-10-29,Гінеколог,село Керч,"вулиця Смоленська, буд. 002, Прилуки, 93652",376 11 01,jpetliura@example.org
Єрошенко,Богуслав,Віталійович,чоловік,1957-03-20,Локсмайстер,село Бердичів,"площа Раїси Сергієнко, буд. 4 кв. 52, Коростень, 34090",+380 97 208-07-98,havrylodubas@example.com
Рябошапка,Едита,Геннадіївна,жінка,2002-09-05,Історик,хутір Рогатин,"шосе Виставочна, буд. 144 кв. 707, Ізяслав, 96643",+380 40 514-93-99,viktor09@example.net
